Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
BSE,425.0,1900.0,1900.0,100.0,1900.0,123,20.0,1850.0,9507,1890.0,107.0,1890.0,215,147.0,1810.0,1919,1600.0,,,0,4.0,1600.0,130,1900.0,100.0,1900.0,225,488.0,1830.0,6003,1900.0,6.0,1900.0,499,50.0,1500.0,50,1900.0,100.0,1900.0,100,40.0,1710.0,2355
BSU,,,555194.0,,,0,,,0,555194.0,,,0,,,0,555194.0,,,0,,,0,555194.0,,,0,,,0,555194.0,,,0,,,0,555194.0,,,0,,,0
BTA,,,1780.0,10.0,1780.0,965,50.0,1420.0,880,1763.4100341796875,7.0,1650.0,272,98.0,1600.0,914,1580.0,17.0,1580.0,534,,,0,1750.0,11.0,1750.0,658,4.0,1500.0,2256,1550.0,9.0,1550.0,554,3.0,1100.0,53,1790.0,62.0,1790.0,162,2.0,1000.0,262
BTS,,,364.0,2670.0,470.0,38374,533.0,371.0,6012,489.0,9901.0,489.0,34356,1532.0,341.0,1532,100.3499984741211,,,0,,,0,250.0,3890.0,400.0,41841,1110.0,250.0,13110,100.3499984741211,100.0,529.0,100,,,0,405.0,10969.0,395.0,17256,2000.0,305.0,5500
BWH,,,9500.0,80.0,9500.0,120,,,0,5000.0,24.0,6400.0,148,,,0,3002.35009765625,,,0,,,0,3250.0,,,0,73.0,3250.0,73,3002.35009765625,,,0,,,0,3500.0,,,0,2.0,9000.0,2
BWS,,,25000.0,4.0,24900.0,459,47.0,23000.0,639,22800.0,2.0,22000.0,103,,,0,30000.0,,,0,5.0,22000.0,5,20000.0,246.0,24000.0,976,21.0,20000.0,217,8590.1298828125,1.0,23000.0,1,,,0,36000.0,12.0,36000.0,13,,,0
C,,,950.0,15.0,950.0,84760,53.0,905.0,31483,998.0,40.0,998.0,29462,80.0,806.0,20409,827.5,400.0,900.0,892,500.0,601.0,1100,938.0,119.0,938.0,93605,5.0,821.0,51124,764.3200073242188,354.0,820.0,854,947.0,700.0,947,777.0,262.0,822.0,82967,7.0,776.0,36170
CA,,,600.0,30.0,1800.0,30,,,0,850.0,17.0,850.0,37,,,0,101.0,,,0,,,0,1250.0,134.0,1200.0,341,1625.0,207.0,1825,991.1799926757812,15.0,1000.0,15,,,0,950.0,349.0,950.0,949,1.0,949.0,170
CAF,,,1200.0,250.0,1300.0,7108,726.0,1200.0,726,1390.0,28.0,1370.0,7321,100.0,930.0,2280,1000.0,,,0,,,0,1310.989990234375,245.0,1480.0,6688,823.0,1300.0,5434,776.280029296875,,,0,500.0,1000.0,500,1340.0,300.0,1300.0,13458,12.0,920.0,1183
CAP,,,256.260009765625,475.0,371.0,4707,587.0,256.0,1287,277.0,78.0,319.0,1048,,,0,141.97000122070312,,,0,,,0,320.0,348.0,320.0,10143,1000.0,250.0,2438,141.97000122070312,100.0,250.0,100,,,0,300.0,400.0,340.0,980,1000.0,250.0,1100
