Ticker,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
COT,AI1,textiles,2.0,3170.0,3000.0,5284.0,1169.0,576.0,200.0,0.0,3170.0,3000.0,0,0,0.0,Low,Unknown,1752.9320004668834,1752.9320004668834,243.4627778426227,WPL:1xRCO=>1xCOT,WPL
CPU,AI1,unit prefabs,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,0.0,0.0,0.0,N/A,N/A
CQL,AI1,unit prefabs,2.0,1890000.0,0.0,3.0,0.0,1.0,100.0,0.0,1890000.0,0.0,0,0,0.0,High,Unknown,1545437.400000581,1545437.400000581,21464.408333341402,UPF:20xDEC-20xFET-1xLIS-20xPSL-30xPSM-1xTCU=>1xCQL,UPF
CQM,AI1,unit prefabs,2.0,1250000.0,1000000.0,4.0,1.0,1.0,200.0,0.0,1250000.0,1000000.0,0,0,0.0,Medium,Unknown,1104364.5000004843,1104364.5000004843,18406.07500000807,UPF:10xDEC-1xLIS-10xPSL-20xPSM-1xTCU-10xTI=>1xCQM,UPF
CQS,AI1,unit prefabs,2.0,850000.0,0.0,6.0,0.0,3.0,100.0,0.0,850000.0,0.0,0,0,0.0,High,Unknown,765341.6000003874,765341.6000003874,15944.616666674738,UPF:2xDEC-5xFAL-1xLIS-5xPSL-10xPSM-1xTCU=>1xCQS,UPF
CQT,AI1,unit prefabs,2.0,549000.0,0.0,1.0,0.0,1.0,100.0,0.0,549000.0,0.0,0,0,0.0,High,Unknown,255172.86000032932,255172.86000032932,6254.2367647139545,UPF:5xAL-1xBMF-1xDEC-2xPSL-5xPSM-1xTCU=>1xCQT,UPF
CRU,AI1,electronic systems,5.0,800000.0,200000.0,1.0,100.0,1.0,1.0,0.0,800000.0,200000.0,0,0,0.0,High,Unknown,190421.28001765013,190421.28001765013,3606.4636366979194,AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,AAF
CST,AI1,chemicals,3.0,2250.0,0.0,136.0,0.0,38.0,100.0,0.0,2250.0,0.0,0,0,0.0,High,Unknown,465.2533335556586,1395.7600006669759,38.77111112963822,LAB:1xDW-1xNS=>3xCST,LAB
CTF,AI1,textiles,4.0,20000.0,18000.0,513.0,276.0,30.0,185.87,0.0,20000.0,18000.0,0,0,0.0,Low,Unknown,14174.380003130436,14174.380003130436,1476.4979169927537,ASM:1xO-1xSI-2xWAL=>1xCTF,ASM
CU,AI1,metals,1.0,1980.0,1800.0,14397.0,4030.0,27.0,200.0,0.0,1980.0,1800.0,0,0,0.0,Low,Unknown,1198.7500051669776,3596.250015500933,299.6875012917444,SME:5xCUO-10xO-1xSIO=>3xCU,SME
DA,AI1,software tools,4.0,60000.0,45000.0,10.0,131.0,10.0,7.63,0.0,60000.0,45000.0,0,0,0.0,High,Unknown,47585.20000902563,47585.20000902563,1321.8111113618231,SE:1xLD-1xROM-1xSA-1xSAL=>1xDA,SE
DCH,AI1,drones,4.0,28000.0,27000.0,226.0,13.0,1.0,200.0,0.0,28000.0,27000.0,0,0,0.0,Low,Unknown,23325.53600112319,23325.53600112319,3471.0619049290462,DRS:1xDRF-1xMPC-1xPOW-1xSOL=>1xDCH,DRS
DCL,AI1,plastics,2.0,6700.0,6000.0,549.0,1665.0,318.0,32.97,0.0,6700.0,6000.0,0,0,0.0,Medium,Unknown,6260.11000038907,12520.22000077814,745.2511905225083,PPF:2xMFK-40xPG-2xPSL=>2xDCL,PPF
DCM,AI1,plastics,2.0,4880.0,4710.0,2437.0,2655.0,634.0,91.79,0.0,4880.0,4710.0,0,0,0.0,Low,Unknown,3790.6500002779067,7581.300000555813,631.7750000463178,PPF:20xPG-2xPSM-8xSFK=>2xDCM,PPF
DCS,AI1,plastics,2.0,1800.0,1710.0,3372.0,5180.0,64.0,65.1,0.0,1800.0,1710.0,0,0,0.0,Low,Unknown,1309.190000166744,2618.380000333488,363.66388893520667,PPF:10xPG-1xPSS-4xSFK=>2xDCS,PPF
DD,AI1,software tools,4.0,40000.0,36000.0,16.0,4.0,1.0,200.0,0.0,40000.0,36000.0,0,0,0.0,Low,Unknown,34973.60001203418,34973.60001203418,728.6166669173787,SE:1xLD-1xNF=>1xDD,SE
DDT,AI1,chemicals,3.0,2510.0,2500.0,15740.0,2527.0,90.0,200.0,0.0,2510.0,2500.0,0,0,0.0,Low,Unknown,1943.793333444496,5831.380000333488,323.96555557408266,LAB:1xC-1xCL-1xH=>3xDDT,LAB
DEC,AI1,construction parts,2.0,33900.0,14000.0,379.0,16.0,72.0,200.0,0.0,33900.0,14000.0,0,0,0.0,High,Unknown,20376.45000004843,20376.45000004843,1698.0375000040358,POL:70xEPO-150xPG=>1xDEC,POL
DIS,AI1,electronic parts,3.0,14000.0,0.0,59.0,0.0,59.0,100.0,0.0,14000.0,0.0,0,0,0.0,High,Unknown,5816.632800297916,5816.632800297916,361.73089554091524,MCA:3xGL-1xLCR=>1xDIS,MCA
